Chemical Formula,Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C18H44N2Ge1I4,2.350743,2.581859
C18H44N2Cd1F4,2.655252,2.410014
C18H44N2Cd1Cl4,3.01284,3.543463
C18H44N2Cd1Br4,2.826033,3.137888
C18H44N2Cd1I4,2.58663,2.782307
C18H44N2Sn1F4,2.513508,2.37564
C18H44N2Sn1Cl4,2.901813,3.506375
C18H44N2Sn1Br4,2.690794,3.095715
C18H44N2Sn1I4,2.165523,2.562022
C18H44N2Pb1F4,2.923867,2.546427
C18H44N2Pb1Cl4,3.041368,3.380303
C18H44N2Pb1Br4,2.873517,2.878372
C18H44N2Pb1I4,2.333594,2.601514
C18H44N2Bi1F4,2.878317,2.338723
C18H44N2Bi1Cl4,3.05554,3.066221
C18H44N2Bi1Br4,2.93596,2.859301
C18H44N2Bi1I4,2.291276,2.427239
C18H44N2Ge1F4,3.093327,3.301378
C18H44N2Ge1Cl4,3.166945,3.58911
C18H44N2Ge1Br4,2.984654,3.205374
C18H44N2Ge1I4,2.360991,2.60993
C18H44N2Cd1F4,2.634763,2.399237
C18H44N2Cd1Cl4,3.042322,3.574056
C18H44N2Cd1Br4,2.925475,3.252849
C18H44N2Cd1I4,2.564654,2.834556
C18H44N2Sn1F4,2.482112,2.273142
C18H44N2Sn1Cl4,2.951186,3.474488
C18H44N2Sn1Br4,2.734405,3.185057
C18H44N2Sn1I4,2.190675,2.759057
C18H44N2Pb1F4,2.929545,2.542928
C18H44N2Pb1Cl4,3.065541,3.348271
C18H44N2Pb1Br4,2.892605,3.04947
C18H44N2Pb1I4,2.318139,2.74534
C18H44N2Bi1F4,2.867602,2.225903
C18H44N2Bi1Cl4,3.049397,3.071058
C18H44N2Bi1Br4,2.948223,2.882505
C18H44N2Bi1I4,2.285755,2.351094
C20H48N2Ge1F4,3.106396,4.035017
C20H48N2Ge1Cl4,3.129789,3.570689
C20H48N2Ge1Br4,2.967133,3.292233
C20H48N2Ge1I4,2.347643,2.588713
C20H48N2Cd1F4,2.654302,2.38653
C20H48N2Cd1Cl4,3.024266,3.503752
C20H48N2Cd1Br4,2.838176,3.130921
C20H48N2Cd1I4,2.54768,2.782307
C20H48N2Sn1F4,2.522587,2.37564
C20H48N2Sn1Cl4,2.901813,3.508099
C20H48N2Sn1Br4,2.692087,3.095715
C20H48N2Sn1I4,2.158049,2.575861
C20H48N2Pb1F4,2.918835,2.544798
C20H48N2Pb1Cl4,3.042926,3.380482
C20H48N2Pb1Br4,2.85985,2.941107
C20H48N2Pb1I4,2.331394,2.656135
C20H48N2Bi1F4,2.878317,2.333408
C20H48N2Bi1Cl4,3.05634,3.066221
C20H48N2Bi1Br4,2.935499,2.859301
C20H48N2Bi1I4,2.291276,2.441806
C20H48N2Ge1F4,3.095285,3.257929
C20H48N2Ge1Cl4,3.179146,3.530295
C20H48N2Ge1Br4,2.977936,3.174665
